WHO report date,var,val
2015-03-18,incidence Deaths-- Liberia,102
2015-03-25,incidence Deaths-- Liberia,37
2015-04-01,incidence Deaths-- Liberia,31
2015-04-08,incidence Deaths-- Liberia,76
2015-04-15,incidence Deaths-- Liberia,78
2015-04-22,incidence Deaths-- Liberia,87
2015-04-29,incidence Deaths-- Liberia,35
2015-05-06,incidence Deaths-- Liberia,108
2015-05-13,incidence Deaths-- Liberia,53
2015-05-20,incidence Deaths-- Liberia,37
2015-05-27,incidence Deaths-- Liberia,0
2015-06-03,incidence Deaths-- Liberia,0
2015-06-10,incidence Deaths-- Liberia,0
2015-06-17,incidence Deaths-- Liberia,0
2015-06-24,incidence Deaths-- Liberia,0
2015-07-01,incidence Deaths-- Liberia,0
2015-07-08,incidence Deaths-- Liberia,1
2015-07-15,incidence Deaths-- Liberia,1
2015-07-22,incidence Deaths-- Liberia,0
2015-07-29,incidence Deaths-- Liberia,0
2015-08-05,incidence Deaths-- Liberia,0
2015-08-12,incidence Deaths-- Liberia,0
2015-08-19,incidence Deaths-- Liberia,0
2015-08-26,incidence Deaths-- Liberia,0
2015-09-03,incidence Deaths-- Liberia,0
2015-09-10,incidence Deaths-- Liberia,0
2015-09-17,incidence Deaths-- Liberia,0
2015-09-24,incidence Deaths-- Liberia,0
2015-10-01,incidence Deaths-- Liberia,0
2015-10-08,incidence Deaths-- Liberia,0
2015-10-15,incidence Deaths-- Liberia,0
2015-10-22,incidence Deaths-- Liberia,0
2015-10-29,incidence Deaths-- Liberia,0
2015-11-05,incidence Deaths-- Liberia,0
2015-11-11,incidence Deaths-- Liberia,0
2015-11-18,incidence Deaths-- Liberia,0
2015-11-25,incidence Deaths-- Liberia,0
2015-12-02,incidence Deaths-- Liberia,1
2015-12-09,incidence Deaths-- Liberia,0
2015-12-16,incidence Deaths-- Liberia,0
2015-12-23,incidence Deaths-- Liberia,0
2015-12-30,incidence Deaths-- Liberia,0
